iter	Passed	Remaining
856	3970	662
857	3974	657
858	3978	653
859	3982	648
860	3987	643
861	3991	639
862	3996	634
863	4000	629
864	4004	625
865	4009	620
866	4013	615
867	4018	611
868	4022	606
869	4026	601
870	4031	597
871	4035	592
872	4039	587
873	4044	583
874	4048	578
875	4052	573
876	4057	569
877	4061	564
878	4065	559
879	4070	555
880	4074	550
881	4078	545
882	4082	541
883	4087	536
884	4091	531
885	4095	526
886	4100	522
887	4104	517
888	4108	513
889	4112	508
890	4117	503
891	4122	499
892	4126	494
893	4130	489
894	4134	485
895	4139	480
896	4143	475
897	4147	471
898	4151	466
899	4156	461
900	4160	457
901	4165	452
902	4169	447
903	4173	443
904	4177	438
905	4181	433
906	4185	429
907	4190	424
908	4194	419
909	4198	415
910	4203	410
911	4207	405
912	4211	401
913	4216	396
914	4220	392
915	4224	387
916	4228	382
917	4233	378
918	4237	373
919	4241	368
920	4245	364
921	4249	359
922	4254	354
923	4258	350
924	4263	345
925	4267	341
926	4271	336
927	4275	331
928	4280	327
929	4284	322
930	4288	317
931	4292	313
932	4297	308
933	4301	303
934	4305	299
935	4310	294
936	4314	290
937	4319	285
938	4323	280
939	4328	276
940	4332	271
941	4336	267
942	4341	262
943	4345	257
944	4349	253
945	4354	248
946	4358	243
947	4363	239
948	4367	234
949	4371	230
950	4376	225
951	4380	220
952	4384	216
953	4388	211
954	4393	207
955	4397	202
956	4401	197
957	4405	193
958	4410	188
959	4415	183
960	4419	179
961	4423	174
962	4427	170
963	4431	165
964	4436	160
965	4440	156
966	4444	151
967	4448	147
968	4452	142
969	4457	137
970	4461	133
971	4465	128
972	4469	124
973	4474	119
974	4478	114
975	4483	110
976	4487	105
977	4492	101
978	4496	96
979	4501	91
980	4505	87
981	4510	82
982	4514	78
983	4518	73
984	4522	68
985	4526	64
986	4530	59
987	4535	55
988	4539	50
989	4543	45
990	4548	41
991	4552	36
992	4556	32
993	4561	27
994	4565	22
995	4569	18
996	4574	13
997	4578	9
998	4582	4
999	4586	0
